"","corrupto"
"vence",0.35
"anímense",0.18
"corrupcápsula",0.18
"informarte",0.18
"rivalidad",0.17
"aderrotarlacorrupción",0.16
"imágen",0.16
"aplastar",0.14
"henao",0.14
"castigando",0.13
"prefiero",0.13
"tajadas",0.13
"2fnvk3y",0.12
"2vfgcwd",0.12
"anímate",0.12
"aspiracional",0.12
"cavernaria",0.12
"chuzado",0.12
"en30derrotamos",0.12
"escribirle",0.12
"estupidos",0.12
"háganme",0.12
"kl8rsuc2rvu",0.12
"orgullo…no",0.12
"polí",0.12
"púlpito",0.12
"rectificación",0.12
"suscríbanse",0.12
"tag",0.12
"títere",0.12
"llamarlo",0.11
"aplazado",0.1
"aproveche",0.1
"ayúdanos",0.1
"consultaanticorrupcion",0.1
"csj",0.1
"icono",0.1
"interpusiera",0.1
"paradas",0.1
"📋🖊️",0.09
"📋✍🏻",0.09
"2iljqbl",0.09
"2wci8ei",0.09
"agravios",0.09
"asombró",0.09
"comparando",0.09
"contendor",0.09
"emotiva",0.09
"eufórico",0.09
"golpea",0.09
"invitarlo",0.09
"juzguen",0.09
"mamut",0.09
"premiosindiacatalina",0.09
"premiosindiacatalinatv",0.09
"revelación",0.09
"tacha",0.09
"vulnerados",0.09
"anticorrupción",0.08
"apúrese",0.08
"claudia",0.08
"consultaanticorrupción",0.08
"duele",0.08
"gratuitamente",0.08
"maratón",0.08
"proponía",0.08
"retractarse",0.08
"acércate",0.07
"apoyarnos",0.07
"dejarnos",0.07
"destruirla",0.07
"doping",0.07
"elefante",0.07
"emerge",0.07
"envidiable",0.07
"exclamó",0.07
"gobernados",0.07
"moral",0.07
"respetado",0.07
"traten",0.07
"únanse",0.07
"📋✍️",0.06
"🇨🇴️",0.06
"🇨🇴✍️",0.06
"0r2ndbbecl",0.06
"18071",0.06
"1908653359354198",0.06
"1mch6ke",0.06
"1qqra2v",0.06
"1yodvgv",0.06
"2017⚡️si",0.06
"280x158",0.06
"2hnlliy",0.06
"2i9nbfm",0.06
"2iezkhf",0.06
"2kriyb6",0.06
"2n28zlp",0.06
"2njh66x",0.06
"2oqt05l",0.06
"2qeganv",0.06
"2sqvnbd",0.06
"2tam7gp",0.06
"2th92ip",0.06
"2trankp",0.06
"2txtaaa",0.06
"2uqj5vb",0.06
"2wszgvv",0.06
"300x219",0.06
"abandonaban",0.06
