palabras_buscar,no_stopwords,pretty_name,keyword,full_no_accents,color
corruptos,true,Corruptos,corruptos,corruptos,#ec5148
soborno,true,Soborno,soborno,soborno,#ec5148
extorsion,true,Extorsión,extorsion,extorsion,#ec5148
robo,true,Robo,robo,robo,#ec5148
hurto,true,Hurto,hurto,hurto,#ec5148
cohecho,true,Cohecho,cohecho,cohecho,#ec5148
ilegalidad,true,Ilegalidad,ilegalidad,ilegalidad,#ec5148
carrusel,true,Carrusel,carrusel,carrusel,#ec5148
enriquecimiento ilicito,true,Enriquecimiento ilícito,enriquecimiento,enriquecimiento ilicito,#ec5148
fraude,true,Fraude,fraude,fraude,#ec5148
falsedad,true,Falsedad,falsedad,falsedad,#ec5148
ladrones,true,Ladrones,ladrones,ladrones,#ec5148
torcidos,true,Torcidos,torcidos,torcidos,#ec5148
serrucho,true,Serrucho,serrucho,serrucho,#ec5148
sacar tajada,true,'Sacar tajada',tajada,sacar tajada,#ec5148
ilicito,true,Ilícito,ilicito,ilicito,#ec5148
desfalco,true,Desfalco,desfalco,desfalco,#ec5148
mermelada,true,Mermelada,mermelada,mermelada,#ec5148
maria jimena duzan,true,María Jimena Duzán,duzan,maria jimena duzan,#009933
daniel coronell,true,Daniel Coronell,coronell,daniel coronell,#009933
jorge robledo,true,Jorge Robledo,robledo,jorge robledo,#009933
juanita leon,true,Juanita león,juanita,juanita leon,#009933
claudia lopez,true,Claudia López,claudia,claudia lopez,#009933
gonzalo guillen,true,Gonzalo Guillén,guillen,gonzalo guillen,#009933
antonio caballero,true,Antonio Caballero,caballero,antonio caballero,#009933
yolanda ruiz,true,Yolanda Ruiz,yolanda,yolanda ruiz,#009933
jose manuel acevedo,true,José Manuel Acevedo,acevedo,jose manuel acevedo,#009933
darcy quinn,true,Darcy Quinn,quinn,darcy quinn,#009933
maria isabel rueda,true,María Isabel Rueda,rueda,maria isabel rueda,#009933
congresistas,true,Congresistas,congresistas,congresistas,#009933
vladdo,true,'Vladdo',vladdo,vladdo,#009933
daniel samper,true,Daniel Samper,samper,daniel samper ospina,#009933
alvaro uribe,true,Álvaro Uribe,uribe,alvaro uribe velez,#009933
juan manuel santos,true,Juan Manuel Santos,santos,juan manuel santos,#009933
salud hernandez,true,Salud Hernández,salud,salud hernandez,#009933
felipe zuleta lleras,true,Felipe Zuleta Lleras,lleras,felipe zuleta lleras,#009933
matador,true,'Matador',matador,matador,#009933
Partido de la U,false,Partido de la U,partido,partido de la u,#FFFE4F
centro democratico,true,Centro Democrático,democratico,centro democratico,#FFFE4F
partido liberal,true,Partido Liberal,liberal,partido liberal,#FFFE4F
partido conservador,true,Partido Conservador,conservador,partido conservador,#FFFE4F
cambio radical,true,Cambio Radical,radical,cambio radical,#FFFE4F
polo,true,Polo,polo,polo,#FFFE4F
opcion ciudadana,true,Opción Ciudadana,ciudadana,opcion ciudadana,#FFFE4F
partido verde,true,Partido Verde,verde,partido verde,#FFFE4F
partido mira,true,Partido Mira,mira,partido mira,#FFFE4F
odebrecht,true,Odebrecht,odebrecht,odebrecht,#ff6600
reficar,true,Reficar,reficar,reficar,#ff6600
llanopetrol,true,Llanopetrol,llanopetrol,llanopetrol,#ff6600
marketmedios,true,Marketmedios,marketmedios,marketmedios,#ff6600
FF\\. MM\\. de Cartagena,false,FF. MM. de Cartagena,cartagena,ff mm de cartagena,#ff6600
fiscal anticorrupcion,true,Fiscal Anticorrupción,anticorrupcion,fiscal anticorrupcion,#ff6600
luis gustavo moreno,true,Fiscal Anticorrupción,gustavo,luis gustavo moreno,#ff6600
Secretar[íìi]a de Seguridad de Medell[íìi]n,false,Secretaría de Seguridad de Medellín,secretaria,secretaria de seguridad de medellin,#ff6600
saludcoop,true,Saludcoop,saludcoop,saludcoop,#ff6600
Cartel de la Hemofilia,false,Cartel de la Hemofilia,hemofilia,cartel de la hemofilia,#ff6600
fondo premium,true,Fondo Premium,premium,fondo premium,#ff6600
interbolsa,true,Interbolsa,interbolsa,interbolsa,#ff6600
inassa,true,Inassa,inassa,inassa,#ff6600
Triple A,false,Triple A,triple,triple a,#ff6600
estraval,true,Estraval,estraval,estraval,#ff6600
