PALABRA;CALIFICACION
confundir;-1,0000
exigen;,0000
actua;,0000
trier;,0000
sacando;-1,0000
conecta;,0000
accidentes;-1,0000
roza;,0000
altos;-1,0000
cortos;1,0000
fumaban;1,0000
agujas;,0000
saldar;-1,0000
almacenes;,0000
pasote;1,0000
obligar;-1,0000
aprobaran;,0000
garantizaremos;1,0000
torpes;1,0000
incondicionales;1,0000
bernardo;,0000
alegria;1,0000
tenso;-1,0000
racismo;1,0000
conste;,0000
pidieran;1,0000
chaco;1,0000
perdona;,0000
aguo;1,0000
pus;,0000
concurrido;,0000
humana;,0000
helen;-1,0000
sinceridad;1,0000
varas;,0000
emitidos;1,0000
irregularidad;-1,0000
titulaciones;1,0000
apuntes;,0000
comparen;-1,0000
coroneles;1,0000
estricta;-1,0000
tomo;1,0000
voy;,0000
pasen;,0000
docil;,0000
saneadas;,0000
tarda;-1,0000
desprestigio;-1,0000
bolsillo;-1,0000
aconseja;,0000
tito;1,0000
grande;1,0000
carreteras;-1,0000
desato;-1,0000
choque;-1,0000
herederos;-1,0000
interrumpir;-1,0000
falsificado;1,0000
pareja;,0000
catedral;,0000
brindis;1,0000
malgasten;-1,0000
trabajando;1,0000
escudo;,0000
ofrecimos;1,0000
piquetistas;1,0000
construya;1,0000
bloqueado;-1,0000
traslade;1,0000
curiosa;,0000
barbaras;1,0000
relativamente;,0000
engordan;1,0000
concesion;-1,0000
colaboracion;1,0000
recordara;,0000
incrementar;,0000
normativo;1,0000
golear;1,0000
alucinando;,0000
concertino;1,0000
cobraron;,0000
insulten;-1,0000
defensas;1,0000
equipamiento;1,0000
fraguo;1,0000
mandarina;1,0000
olvidada;,0000
bostezar;1,0000
macas;1,0000
represalias;1,0000
pedazo;1,0000
vinculos;1,0000
imperdonable;-1,0000
conazo;,0000
transformara;,0000
utopia;1,0000
acredita;1,0000
ajena;-1,0000
naranja;,0000
jacta;,0000
marginar;1,0000
deficiente;-1,0000
bar;,0000
desgravaciones;,0000
mesen;1,0000
miro;,0000
cantaremos;,0000
desproporcionado;-1,0000
florecen;1,0000
cumplidor;1,0000
conspiracion;-1,0000
novia;,0000
indican;,0000
miraba;1,0000
cuelgo;-1,0000
exportas;1,0000
comedores;1,0000
acariciar;1,0000
fiel;1,0000
transcurridos;1,0000
recusa;,0000
chifla;1,0000
sumen;1,0000
sharia;-1,0000
interrupcion;-1,0000
vayamos;-1,0000
bunuelo;1,0000
infanticidio;,0000
confrontaciones;1,0000
pensar;,0000
debere;1,0000
endeudar;1,0000
hija;,0000
machismo;-1,0000
reputacion;,0000
horrible;,0000
trabajador;,0000
energetica;,0000
asumir;-1,0000
aceptas;,0000
vigilara;1,0000
futbol;,0000
angulas;,0000
inmerecido;1,0000
escoge;1,0000
dependen;,0000
academia;,0000
sitios;,0000
escribir;,0000
ven;,0000
pintado;,0000
prometedora;1,0000
relaciona;,0000
privatizando;-1,0000
recursos;,0000
recordaba;1,0000
opinara;1,0000
alien;1,0000
infrahumanas;1,0000
descargan;1,0000
sexos;1,0000
rabieta;1,0000
cofra;1,0000
ambientes;1,0000
play;,0000
regresen;,0000
maneje;1,0000
rusia;,0000
disenar;,0000
votarse;1,0000
vocacion;,0000
post;,0000
cumpla;,0000
tedio;1,0000
paciencia;1,0000
unir;,0000
copiar;,0000
moro;-1,0000
tardaremos;1,0000
escalaras;1,0000
alternativos;1,0000
atadas;,0000
graficos;,0000
contar;,0000
ocultos;-1,0000
