comentario,polaridad
"Invito a todos los costeños y en especial a los que pertenecemos a la región de los montes de maria, a que vean este gran aporte que el señor Daniel Samper realizó para ayudar a nuestros campesinos a la venta del ñame.",1
"VIVA LA ALIANZA VERDE, Claudia López, Dr. Robledo, Dr. Fajardo👍",1
Que le pregunted a juan manuel santos como se hace para ganar uno $$$$$$,-1
Vamos que todavía queda mucho camino. Tienes mi voto y toda mi admiración Claudia López,1
Claudia López y segura que no la vuelven a aplazar???,0
"Todo mi apoyo Daniel Samper Ospina admiro tu trabajo sigue adelante, me encantan tus columnas de la Revista Semana y  tu canal en you tube . Te seguiré leyendo y viendo hasta que seas millonario, millonario, solo me falta comprar tu puto libro",1
"Eres el mejor de todos los tiempo, Álvaro Uribe Vélez.",1
Estoy con Alvaro Uribe y Centro Democratico.,1
Álvaro Uribe Vélez desde que Santos era su ministro de defensa Usted sabía que él era íntimo amigo de la guerrilla. No venga aquí hacerse el que defiende la Constitución cuando fue Usted el que empezó a cambiarla queriendo otro gobierno y haciendo perder a todos los Colombianos. Aquí no crea que somos tan ignorantes como para no saber su estrategia de guerra. Usted UNDIÓ A Colombia Usted Sabía siempre quien era Santos y el plan de la PAZ. Usted traicionó a un país con una estrategia. Confunde y reinaras. Muy bien hay tiene al país dividido en 4 partes.,-1
La mejor forma de no responder a comentarios difamadores es ignorarlos. Hay un refrán que dice que a palabras necias oidos sordos. No sé si eres ateo o no pero sólo la justicia divina dará a cada quien lo que se merece y tú Daniel Samper Ospina lo verás y lo sentirás en la demanda que acabas de poner por calumnia y difamación. Hace pocos días te puse un tweet acerca que el odio y el resentimiento son perjudiciales para la salud y que el que nada debe nada teme. Y sinceramente te lo repito aquí porque aquella persona que te tuiteo terriblemente desde hace rato está enfermo y tiene la mente y el corazón enfermos de odio y rencor que no le importa si sus comentarios afectan a los demás y ni siquiera sabe qué es la palabra humildad.Pueda que a veces tu forma de expresar tus opiniones para algunos se pase del respeto pero nadie tiene derecho de vulnerar las reputaciones con insultos y calumnias ni siquiera con acusaciones sin fundamento ni pruebas. Te apoyo en tu desempeño periodistico y humoristico. Y no te olvides que el Dios de la Vida hará justicia a tu favor. P.D.: lástima que no pude ver tu $#&: obra que no sé cuándo habrá otra oportunidad de verla. Y todo por el factor económico.,1
"Eso es el 0.05 % de dinero del narcotráfico y secuestro que tienen las farc. Trasladensen ahora a Noruega Oslo, ahí tienen cuentas bancarias a nombres de tercero o es el mismo premio nobel que recibió JUAN MANUEL SANTOS. Faltan Venezuela, Ecuador, Chile, islas caimanes, panamá, uruguay, argentina.....etc........",-1
