_id,sad,wow,love,like,angry,haha
171280749364_10155823752549365,4,0,0,17,0,0
171280749364_10155822865319365,0,6,4,18,0,0
171280749364_10155822859444365,0,0,0,4,3,0
171280749364_10155822696739365,0,0,0,2,0,0
171280749364_10155822693084365,0,0,0,23,0,0
171280749364_10155822688039365,0,5,4,108,0,0
171280749364_10155822684274365,4,5,3,191,29,49
171280749364_10155822676114365,0,1,0,10,0,0
171280749364_10155822671494365,0,0,0,4,1,0
171280749364_10155822669459365,0,0,0,22,0,33
171280749364_10155822663794365,0,1,0,56,6,0
171280749364_10155822658944365,0,10,102,857,2,62
171280749364_10155822857759365,0,1,0,11,1,1
171280749364_10155822657204365,40,15,1,61,1,1
171280749364_10155822699829365,1,10,2,40,2,3
171280749364_10155822651774365,5,5,0,26,0,0
171280749364_10155822678824365,2,4,2,70,29,35
171280749364_10155822644244365,5,3,0,16,3,0
171280749364_10155822630189365,0,0,0,5,0,0
171280749364_10155822618909365,0,0,0,18,0,0
171280749364_10155821438549365,0,0,28,289,1,0
171280749364_10155821445079365,0,0,0,6,0,0
171280749364_10155821442399365,2,14,1,37,23,1
171280749364_10155821434729365,0,0,18,191,0,0
171280749364_10155821430924365,22,1,0,14,0,0
171280749364_10155821425379365,151,19,2,154,145,1
171280749364_10155821419949365,0,0,0,4,0,0
171280749364_10155821422829365,0,2,0,20,0,0
171280749364_10155821419029365,2,28,0,52,0,0
171280749364_10155821409999365,0,0,0,6,0,0
171280749364_10155820534769365,0,2,6,179,1,15
171280749364_10155820520394365,0,0,17,107,0,0
171280749364_10155820516404365,0,0,1,48,0,12
171280749364_10155820508719365,1,7,1,20,15,0
171280749364_10155820473004365,0,0,0,17,0,1
171280749364_10155819478539365,0,0,0,20,0,0
171280749364_10155820525614365,4,11,15,162,63,28
171280749364_10155820459374365,0,0,0,7,0,2
171280749364_10155820444069365,4,0,71,632,0,0
171280749364_10155819475594365,0,3,0,9,1,0
171280749364_10155820438929365,23,7,1,32,2,0
171280749364_10155820498919365,5,15,2,48,5,22
171280749364_10155820442534365,6,4,1,67,0,0
171280749364_10155820434554365,29,11,1,28,1,0
171280749364_10155819473704365,0,0,28,177,0,0
171280749364_10155819471384365,0,0,0,9,0,0
171280749364_10155819468594365,0,2,1,18,2,0
171280749364_10155819466374365,0,0,1,21,0,0
171280749364_10155819457944365,6,0,22,136,0,0
171280749364_10155819452939365,0,2,11,168,0,2
171280749364_10155819485234365,0,0,1,12,0,1
171280749364_10155819451199365,3,3,3,94,10,1
171280749364_10155819480424365,0,5,6,77,20,32
171280749364_10155819449344365,0,0,0,9,0,1
171280749364_10155818498839365,0,5,2,113,0,0
171280749364_10155818496929365,1,0,6,68,0,5
171280749364_10155818494739365,6,16,25,327,4,82
171280749364_10155818728309365,0,0,5,80,0,0
171280749364_10155818492569365,0,1,0,6,0,0
171280749364_10155818490429365,0,0,6,84,0,0
171280749364_10155817823864365,0,0,3,60,0,0
171280749364_10155818488104365,0,1,1,6,3,0
171280749364_10155817807779365,0,1,0,32,0,0
171280749364_10155817661834365,0,0,6,27,0,0
171280749364_10155817673689365,3,229,32,536,2,18
171280749364_10155817683484365,32,45,0,47,14,1
171280749364_10155817679369365,0,1,0,6,0,0
171280749364_10155817903964365,0,0,0,3,0,0
171280749364_10155817907109365,0,2,0,4,0,3
171280749364_10155817950414365,0,1,1,31,18,1
171280749364_10155817805749365,0,0,7,176,0,1
171280749364_10155817660029365,30,6,1,27,0,0
171280749364_10155817945584365,1,1,3,42,2,4
171280749364_10155817658154365,1,4,0,82,0,0
171280749364_10155817837619365,0,1,0,3,0,0
171280749364_10155817654159365,0,3,1,20,0,0
171280749364_10155817765929365,0,5,0,75,1,3
171280749364_10155817710609365,1,10,40,322,7,4
171280749364_10155817232009365,0,0,0,22,0,0
171280749364_10155817650559365,0,5,0,13,2,0
171280749364_10155817096394365,0,0,15,101,0,0
171280749364_10155817069499365,0,1,84,402,0,0
171280749364_10155817003299365,2,5,0,68,5,41
171280749364_10155817089694365,0,0,0,1,0,0
171280749364_10155816998589365,0,2,3,39,1,0
171280749364_10155816437419365,4,0,0,9,3,0
171280749364_10155817094394365,1,0,0,8,0,0
171280749364_10155816436579365,1,3,44,470,1,14
171280749364_10155816434839365,0,0,0,14,0,0
171280749364_10155817099519365,0,0,0,7,0,0
171280749364_10155816946209365,0,0,0,3,1,1
171280749364_10155816996474365,0,0,0,21,5,15
171280749364_10155816927294365,0,0,0,19,1,1
171280749364_10155816433834365,0,0,0,6,0,0
171280749364_10155816431874365,0,1,0,5,0,0
171280749364_10155816442449365,0,0,0,9,0,0
171280749364_10155816427914365,0,0,1,50,0,0
171280749364_10155816428609365,0,1,3,58,21,32
171280749364_10155816441039365,2,66,1,43,47,0
171280749364_10155816422309365,0,6,0,36,23,1
14302129065_10155870112739066,0,0,2,14,0,0
14302129065_10155870256719066,0,0,11,218,2,116
14302129065_10155870138309066,10,16,0,33,2,0
14302129065_10155870083909066,12,20,2,95,117,11
14302129065_10155870021769066,0,3,0,38,0,1
14302129065_10155870074614066,0,0,5,105,0,32
14302129065_10155869946389066,23,3,2,157,43,6
14302129065_10155870054734066,2,14,154,1529,42,357
14302129065_10155869940824066,0,0,9,30,0,3
14302129065_10155869929644066,0,0,0,55,0,2
14302129065_10155869805654066,29,19,5,66,102,4
14302129065_10155869482419066,66,5,5,164,26,2
14302129065_10155869813409066,11,18,0,47,82,2
14302129065_10155869584074066,2,20,48,626,20,12
14302129065_10155869694234066,0,0,4,87,0,0
14302129065_10155869596599066,0,8,52,396,2,14
14302129065_10155869549439066,4,1,60,443,7,3
14302129065_10155869615399066,1,2,9,213,0,3
14302129065_10155869458309066,4,7,7,179,31,65
14302129065_10155869525104066,211,77,12,1110,62,366
14302129065_10155869302654066,0,0,3,59,6,2
14302129065_10155869366049066,4,77,6,470,92,44
14302129065_10155869393599066,3,11,3,192,16,4
14302129065_10155865363319066,0,0,1,36,0,0
14302129065_10155868203729066,0,1,3,47,2,0
14302129065_10155869138984066,2,2,8,277,0,30
14302129065_10155869189704066,949,23,6,396,1793,2
14302129065_10155869209039066,0,0,3,57,1,0
14302129065_10155869204884066,14,22,3,102,61,7
14302129065_10155868201384066,0,0,4,16,3,9
14302129065_10155868327429066,2,1,4,100,0,29
14302129065_10155868330159066,0,0,1,29,1,4
14302129065_10155868235819066,63,53,615,2254,14,120
14302129065_10155868331449066,79,12,140,666,0,1
14302129065_10155868192554066,2,7,1,135,24,11
14302129065_10155868329029066,1,1,45,610,0,0
14302129065_10155868189649066,5,3,254,1926,10,27
14302129065_10155868239974066,0,24,4,244,0,17
14302129065_10155868174544066,0,1,11,85,8,3
14302129065_10155868238554066,0,0,10,106,9,14
14302129065_10155868334044066,0,1,0,7,11,0
14302129065_10155868169624066,1,35,2,297,4,24
14302129065_10155868165644066,0,0,1,23,1,1
14302129065_10155868241299066,0,0,7,52,0,0
14302129065_10155868232464066,0,0,5,39,0,1
14302129065_10155868227859066,0,0,1,8,0,0
14302129065_10155868216159066,0,4,0,8,0,0
14302129065_10155868220329066,0,0,0,25,0,0
14302129065_10155868133794066,1,1,15,381,0,14
14302129065_10155868132704066,3,16,375,3425,3,271
14302129065_10155867905064066,0,4,38,505,0,15
14302129065_10155867863694066,0,1,5,18,0,0
14302129065_10155868138999066,22,28,5,243,4,10
14302129065_10155867710689066,1,0,0,33,2,7
14302129065_10155867702684066,4,78,412,1702,1,3
14302129065_10155867868724066,2,1,42,360,4,31
14302129065_10155867694609066,0,0,1,52,2,0
14302129065_10155867881314066,0,1,6,90,0,5
14302129065_10155867841789066,826,87,13,832,1267,23
14302129065_10155867662639066,1,4,2,103,16,8
14302129065_10155867854934066,456,69,0,190,1,2
14302129065_10155867871319066,431,1160,9,2534,10,11
14302129065_10155867680364066,0,1,0,34,6,8
14302129065_10155867679059066,7,1,2,40,2,1
14302129065_10155866767874066,0,10,71,575,0,0
14302129065_10155867663619066,0,3,19,355,0,0
14302129065_10155867661529066,321,133,6,369,8,1
14302129065_10155867541424066,0,0,47,172,0,0
14302129065_10155867498069066,0,1,2,21,2,2
14302129065_10155867482809066,0,7,8,372,2,24
14302129065_10155867478344066,26,371,183,1650,33,965
14302129065_10155867466439066,4,81,32,888,0,8
14302129065_10155867424914066,16,12,104,804,45,472
14302129065_10155867414679066,7,53,45,708,741,1616
14302129065_1902374333415068,0,0,10,104,1,5
14302129065_10155867401544066,6,6,6,156,194,17
14302129065_10155867333574066,0,0,1,30,0,1
14302129065_10155867328539066,61,12,3,269,56,3
14302129065_10155867264724066,0,0,0,78,0,2
14302129065_10155867265424066,0,0,0,19,0,0
14302129065_10155867288464066,241,39,1,132,0,0
14302129065_10155867245239066,0,2,47,346,40,10
14302129065_10155867258499066,3,6,1,56,3,23
14302129065_10155865346359066,0,2,4,235,0,5
14302129065_10155867173069066,0,0,4,78,2,11
14302129065_10155867167704066,4,22,0,152,20,14
14302129065_10155867125979066,0,1,2,21,0,0
14302129065_10155867119029066,4,18,56,867,13,41
14302129065_10155867113514066,2,1,12,588,1,14
14302129065_10155867110104066,4,8,2,63,43,12
14302129065_10155867066619066,6,24,0,267,1,14
