"","corrupción"
"corrupción",1.00000000000005
"fiscalía",0.353944265834968
"panameña",0.120013716637183
"omitirá",0.0138888888888889
"nombres",0.121478164475944
"imputados",0.0908792090391078
"escándalo",0.357845054171164
"nación",0.423670818206143
"años",0.30632352626446
"cárcel",0.243397716568309
"funcionarios",0.37431335014616
"corruptos",0.344714138584805
"fiscal",0.36892111104072
"daniel",0.121478164475944
"díaz",0.0903876907577734
"miembro",0.145833333333333
"unidad",0.174626313306941
"anticorrupción",0.259661835748792
"resultó",0.0310564996874971
"salpicado",0.0763888888888889
"acusaciones",0.26010101010101
"hechas",0.052495065695726
"exjefe",0.0416666666666667
"luis",0.291185505548839
"gustavo",0.166539937077724
"moreno",0.152556203324384
"país",0.389173706174871
"exalcalde",0.0728081460714354
"cota",0.0196418550329597
"aceptó",0.133564614224126
"cargos",0.247222987613071
"caso",0.435661787090492
"noticia",0.0785674201318386
"principal",0.181663512847515
"edición",0.0659295671071033
"impresa",0.0643939393939394
"meridiano",0.0602946626475319
"sucre",0.0647414533710283
"conoció",0.0934080897196341
"exclusiva",0.03969080601732
"fuente",0.121232161242218
"oficial",0.141130065801909
"ronaldo",0.0160375074774896
"rildo",0.00982092751647983
"herazo",0.0160375074774896
"contador",0.0982092751647983
"personal",0.112800340102256
"exgobernador",0.177277503524889
"julio",0.145037275294789
"guerra",0.200465817500975
"tulena",0.0138888888888889
"procesado",0.0749501018698143
"cartel",0.0653097958222505
"enfermos",0.0167506302543202
"mentales",0.0173611111111111
"firmará",0.0138888888888889
"preacuerdo",0.0240562612162344
"oportunidad",0.177234728154049
"pretende",0.0890286324374916
"conceda",0.0138888888888889
"libertad",0.149137496567973
"cambio",0.187027869228927
"señalar",0.117254411780241
"determinadores",0.0196418550329597
"hechos",0.317075095461022
"leer",0.080187537387448
"noticias",0.19478172907685
"región",0.141054544342668
"suscríbase",0.0633938145260609
"llamando",0.0662912607362389
"elmeridianoevolucionó",0.0633938145260609
"moderno",0.0673519882600406
"versátil",0.0633938145260609
"experto",0.10166571355507
"yoleoelmeridiano",0.0633938145260609
"imputan",0.0694444444444444
"fiscales",0.27164431470522
"cauca",0.0577350269189626
"córdoba",0.172031948829266
"gobernador",0.168160676683564
"edwin",0.0385208469600854
"besaile",0.153093108923949
"fayad",0.0226804605813257
"edwinbesaile",0
"torno",0.137761380859123
"pagado",0.257247877713763
"millones",0.355991249489584
"pesos",0.311849054582188
"evitar",0.244571989031716
"investigación",0.38874728119126
"hemofilia",0.0916619901538117
"carecen",0
"sentido",0.194444444444444
"mandatario",0.29088180476383
"llamado",0.213156762724145
"competente",0.101056510431805
"investigarlo",0
"fuero",0.0621992076043722
"especial",0.181483867872817
"juez",0.175500883217669
"natural",0.122977464562104
"corte",0.278342540119298
"suprema",0.239572878065092
