"","corrupción"
"corrupción",1
"fiscalía",0.000682543030453021
"panameña",0.0210103083381372
"omitirá",0.0234679696718012
"nombres",0.00144476969496008
"imputados",0.0129406582638363
"escándalo",0.123410669632708
"nación",-0.000342389154310673
"años",0.0550376823603752
"cárcel",0.00449185052035558
"funcionarios",-0.00452379993767523
"corruptos",-0.204189962127303
"fiscal",-0.0929252652543936
"daniel",-0.022515415448437
"díaz",-0.0371966509213878
"miembro",-0.0397337307410472
"unidad",-0.0864880331979519
"anticorrupción",-0.350159348555555
"resultó",-0.0077123673688625
"salpicado",0.000325013633651635
"acusaciones",0.0386995069113561
"hechas",-0.0095374667365297
"exjefe",-0.0915174350558174
"luis",-0.110215765810161
"gustavo",-0.113439895705599
"moreno",-0.099857451247484
"país",0.105267168717521
"exalcalde",0.0601281912408111
"cota",0.0331957339275897
"aceptó",-0.0112665507345393
"cargos",0.0141892000724865
"caso",0.083457986391303
"noticia",-0.049196218745555
"principal",0.0181196004381001
"edición",-0.089758425383919
"impresa",-0.0900280560003938
"meridiano",-0.0868091743724116
"sucre",0.039057104129462
"conoció",-0.0254414353022013
"exclusiva",-0.0148526215843875
"fuente",-0.0553683009711996
"oficial",-0.0264883934685104
"ronaldo",-0.0268539982179338
"rildo",-0.026013153349385
"herazo",-0.0268539982179338
"contador",-0.0285769139934543
"personal",-0.0134428742277656
"exgobernador",-0.00248936293581048
"julio",-0.0736622305232387
"guerra",-0.0385781655434617
"tulena",-0.0349333177400274
"procesado",-0.0384269354199828
"cartel",-0.0172362069455471
"enfermos",-0.036986309399036
"mentales",-0.0373690519106093
"firmará",-0.016089296484744
"preacuerdo",-0.0287339125829915
"oportunidad",-0.0287329347704059
"pretende",0.00340301031596437
"conceda",-0.016089296484744
"libertad",-0.00272476844710277
"cambio",-0.0447624341296084
"señalar",-0.035113624233719
"determinadores",-0.0174443339884967
"hechos",0.0807015167965088
"leer",-0.0391815256758424
"noticias",-0.0484609638507318
"región",-0.00789635087658675
"suscríbase",-0.0891490775248094
"llamando",-0.090104020184906
"elmeridianoevolucionó",-0.0891490775248094
"moderno",-0.0899093129707668
"versátil",-0.0891490775248094
"experto",-0.0452999493430245
"yoleoelmeridiano",-0.0891490775248094
"imputan",0.0408764630476737
"fiscales",0.0170519049512992
"cauca",0.0333903397181615
"córdoba",0.0281528412215693
"gobernador",-0.0167052352500708
"edwin",-0.0304570372865922
"besaile",-0.0238024798590188
"fayad",-0.0258770885121185
"edwinbesaile",-0.0223824979187399
"torno",0.000357021887430658
"pagado",-0.0385950034042757
"millones",-0.0358447268691756
"pesos",-0.01606984540325
"evitar",0.0381351703949894
"investigación",0.014169891185851
"hemofilia",-0.027424457121631
"carecen",-0.0223824979187399
"sentido",-0.0526630833552695
"mandatario",0.0413785357158363
"llamado",-0.0064540322703916
"competente",-0.00835179590046875
"investigarlo",-0.0223824979187399
"fuero",-0.0416840354831149
"especial",-0.00452961813741783
"juez",0.000296479317447042
"natural",-0.0422088680965243
"corte",0.0241732475556505
"suprema",0.00529678345847564
"justicia",0.104472193891511
"néstor",-0.0457424229507633
"humberto",-0.050757240463985
"martínez",-0.0748360206263829
"desmintió",-0.0417248416783285
"existiera",-0.0255295763251361
"audio",-0.00219118451271055
"telefónico",-0.0223824979187399
"pago",-0.00552860698258535
"entregó",-0.0113037487053196
"vinculado",0.00369023203959135
"consulta",-0.0757738386565978
"listas",-0.035503298631387
"firmas",-0.0300643159635281
"presentar",-0.0344043901768032
"registraduría",0.00467812514376009
"recolección",-0.0195510478330062
"senadora",0.0249355183641241
"claudia",-0.0340595273811344
"lópez",-0.0179082688324781
"representante",-0.0273630574825465
"angélica",-0.0481768467946252
"lozano",-0.0489542527489237
"suma",-0.015264934842783
"mil",-0.0827301358330666
"busca",0.00240159903318734
"reducción",-0.0577367642742709
"salario",-0.00141012406475754
"congresistas",0.0374764137673078
"sancionar",-0.0355452249654142
"severa",-0.0288557417554272
"personas",-0.000951687767334124
"cometan",-0.0292386861666221
"delitos",0.0491775053466596
"administración",0.0143723588686775
"pública",-0.0380293436863849
"certifique",-0.0223824979187399
"necesita",-0.00200446572858231
"concepto",-0.0371117682902935
"conveniencia",-0.027281955188209
"plenaria",-0.0252550266811666
"senado",-0.0350409796874017
"analizar",-0.0484679063027974
